ETC_20150317_000001	Kepa	케파
ETC_20150317_005089	Fight Gesti until the sacred utensil is activated!	성구가 발동할 때까지 제스티와  맞서세요!
ETC_20150317_005090	You have received 'Revelation of the Goddess'!	여신의 계시를 획득했습니다!
ETC_20150317_005091	Revelation of the Goddess	여신의 계시
ETC_20150317_005092	Monsters!	몬스터들이야!
ETC_20150317_005093	Slate	석판
ETC_20150317_005094	Naktis' henchmen made a surprise attack!	나크티스의 부하들이 급습했다!
ETC_20150317_005095	Withstand the attack of Naktis's men until the medicine is complete.	약이 완성될 때까지 나크티스 부하의 공격을 막으세요.
ETC_20150317_005096	Pot	냄비
ETC_20150317_005097	Cathedral Candlestick	대성당 촛대
ETC_20150317_005098	Barrier Candlestick	결계 촛대
ETC_20150317_005099	Video	영상
ETC_20150317_005100	Don't move!	멈춰라!
ETC_20150317_005101	This is a restricted area.	여긴 통제구역이다
ETC_20150317_005102	Yes!	예!
ETC_20150317_005103	Out of the way	비켜
ETC_20150317_005104	Let him pass	통과시켜
ETC_20150317_005105	Return to the your positions	각자 자리로 돌아가
ETC_20150317_005106	Petrification Detector	석화 탐지기
ETC_20150317_005107	Please defeat Saltistter!	살티스터를 처치하세요!
ETC_20150317_005108	Stop him!	저녀석을 막아!
ETC_20150317_005109	Don't get caught while passing	안 들키게 지나가게
ETC_20150317_005110	Shall we move then?	그럼 우리도 가볼까?
ETC_20150317_005111	Please defeat Glackuman!	글락쿠만을 처치하세요!
ETC_20150317_005112	Cryomancer's Magic Circle	크리오맨서의 마법진
ETC_20150317_005113	So just cool your head down from there	그러니 거기서 머리나 식히고 계세요
ETC_20150317_005114	What, what is it?	뭐, 뭐야?
ETC_20150317_005115	Please defeat Bebraspion!	베브라스피온을 처치하세요!
ETC_20150317_005116	Refuss appeared beyond the time.{nl}Please defeat Refuss!	시간을 넘어서 레푸스가 등장했습니다.{nl}레푸스를 처치하세요!
ETC_20150317_005117	Save me!	살려줘!
ETC_20150317_005118	Argh!	꺄악!
ETC_20150317_005119	Retreat to the fortress!	요새로 도망쳐!
ETC_20150317_005120	Portal of the Fort Land	대지의 요새 포탈
ETC_20150317_005121	Please help the guards and get rid of those stone whales!	경비병들을 도와 석화고래를 처치하세요!
ETC_20150317_005122	Kingdom Guard 	왕국군 경비병
ETC_20150317_005123	Thank you for the supplies.	주셨던 보급품은 잘 받았습니다.
ETC_20150317_005124	What's the fuss?	무슨 소란이지?
ETC_20150317_005125	What is that?	뭐야 저 녀석!
ETC_20150317_005126	But it smelled a bit smoky	근데 그거 좀 매캐한 냄새가 나던데요
ETC_20150317_005127	My work shift ends soon!	곧 근무 끝나는데!
ETC_20150317_005128	Please defeat Stone Froster and obtain Nuclear Frost!	스톤프로스터를 처치하고 서리핵을 획득하세요!
ETC_20150317_005129	What?	뭐야!
ETC_20150317_005130	What is that sound?	무슨소리지?
ETC_20150317_005131	Please defeat Gargoyle!	가고일을 처치하세요!
ETC_20150317_005132	Please defeat Devilglove!	데블글로브를 처치하세요!
ETC_20150317_005133	Northern Guards	북은 경비병
ETC_20150317_005134	Pile of Books	책 무더기
ETC_20150317_005135	First mobile device	제1 이동장치
ETC_20150317_005136	Second mobile device	제2 이동장치
ETC_20150317_005137	Damn it. It was a trap. This is a restrainment spell.	이런. 함정이었어. 이건 구속마법이야.
ETC_20150317_005138	Flam Fusion Machine	불꽃 융합기
ETC_20150317_005139	Have a good time	좋은 시간 보내라고.
ETC_20150317_005140	Magic regulating valve	마력 조절 밸브
ETC_20150317_005141	Scattered books	흩어진 책
ETC_20150317_005142	Scattered books	흩어진책
ETC_20150317_005143	Hahahahaha....	으하하하하하하....
ETC_20150317_005144	Chase Grita who took the Essence of Fire!	화염의 정수를 가지고 사라진 그리타를 쫓아가세요!
ETC_20150317_005145	Well then.	그럼 이만.
ETC_20150317_005146	Magic Circle	마법진
ETC_20150317_005147	Helga Cercle	헬가 세르클
ETC_20150317_005148	Please defeat Poata!	포아타를 처치하세요!
ETC_20150317_005149	Nest of Poata	포아타의 보금자리
ETC_20150317_005150	Baby Pantos are returning to Capria	새끼 판토들이 카프리아에게 돌아갑니다
ETC_20150317_005151	Capria looks very angry.{nl}Abandon the plan and defeat Capria!	카프리아가 매우 화난 것 같습니다.{nl}계획을 포기하고 카프리아를 처치하세요!
ETC_20150317_005152	Simorph looks angry for the destroyed totem	파괴된 토템 때문에 시모프가 많이 화난 것 같습니다
ETC_20150317_005153	Please defeat Berserk Karnorber!	광폭해진 카너버를 처치하세요!
ETC_20150317_005154	Tolong kalahkan Mushcaria dan dapatkan mane filled with spirits!	머슈카리아를 처치하고 영력 깃든 갈기를 획득하세요!
ETC_20150317_005155	Please defeat Minotaur {nl} together with follower Kayetonas!	추종자 카예토나스와 함께{nl}미노타우로스를 처치하세요!
ETC_20150317_005156	Let's go!	어서 갑시다!
ETC_20150317_005157	Please defeat Viteresina!	비테레지나를 처치하세요!
ETC_20150317_005158	Small Hive	작은 벌통
ETC_20150317_005159	We are too late!	우리가 한 발 늦었군!
ETC_20150317_005160	Wounded Villager	부상당한 마을 사람
ETC_20150317_005161	So you followed me till here...	여기까지 쫓아오다니..
ETC_20150317_005162	Nugria Altar	누그리아 제단
ETC_20150317_005163	Please defeat Moyabruka!	모야브루카를 처치하세요!
ETC_20150317_005164	Polluted Pond 1	연못 오염원1
ETC_20150317_005165	The relax bomb slows down your movement {nl} when you approach Upent!	우펜트 근처에 다가가면 나른초 폭탄의 효과로{nl}이동속도가 느려집니다!
ETC_20150317_005166	So you are still alive...	참으로 질긴 명줄이더구나.
ETC_20150317_005167	Your role is done.{nl}Die in silence!	네 역할은 여기까지다.{nl}얌전히 죽어!
ETC_20150317_005168	Goddess Shaule	여신 샤울레
ETC_20150317_005169	Restraining Magic Circle	구속 마법진
ETC_20150317_005170	Temple Border	결계
ETC_20150317_005171	Goddess Shaule	샤울레 여신
ETC_20150317_005172	Portal	포탈
ETC_20150317_005173	Please defeat Golem!	골렘을 처치하세요!
ETC_20150317_005174	Please defeat Spanashon!	스파나스혼을 처치하세요!
ETC_20150317_005175	Please defeat Yekub!	예쿱을 처치하세요!
ETC_20150317_005176	Patient	환자
ETC_20150317_005177	Trigger to kill soldiers	병사죽이는 트리거
ETC_20150317_005178	Please defeat Yonazolem and obtain the easy burning stone!	요나졸렘을 처치하고 잘 타는 돌맹이를 획득하세요!
ETC_20150317_005179	Let the fight begin!	그럼 대련을 시작하지!
ETC_20150317_005180	Mines Manager	광산 관리소장
ETC_20150317_005181	See? No just a day or two...	봤지? 하루이틀이..
ETC_20150317_005182	Argh! There it is!!!	으악! 나왔다!!!
ETC_20150317_005183	Please defeat ShadowGaoler	섀도게일러를 처치하세요!
ETC_20150317_005184	Please defeat Minotaur!	미노타우르스를 처치하세요!
ETC_20150317_005185	Minotaur	미노타우르스
ETC_20150317_005186	Remarkable Vubbe Fighter	비범한 부베 투사
ETC_20150317_005187	Defeat the Oracle Master!	오라클 마스터를 제압하세요!
ETC_20150317_005188	Oh, you're here!	오, 왔군!
ETC_20150317_005189	What's the occassion?	무슨 일인가?
ETC_20150317_005190	What?	뭐야?
ETC_20150317_005191	Whoa, I see... Be careful on your way back...	후우.. 알겠네. 조심해서 돌아가게..
ETC_20150317_005192	Fletcher workshop	플래쳐 공방원
ETC_20150317_005193	Everything was sent to the masters in Klaipeda as you requested.	클라페다의 마스터들에게 부탁하신 물건들을 모두 전달해 드렸습니다.
ETC_20150317_005194	But...	그런데..
ETC_20150317_005195	I failed to bring the shield and armor again.	이번에도 방패와 갑주들은 가져오지 못했습니다.
ETC_20150317_005196	Well then, I will get going	그럼 전 이만 가보겠습니다.
ETC_20150317_005197	Please defeat Sparnas!	스파르나스를 처치하세요!
ETC_20150317_005198	All will die	다 죽을거야
ETC_20150317_005199	Don't come closer!	가까이 오지마!
ETC_20150317_005200	Please defeat the aggressive Harpia!	급습한 하르피아를 처치하세요!
ETC_20150317_005201	Please defeat Reaverpede!	리버피드를 처치하세요!
ETC_20150317_005202	I will not go easy on you!	봐드리지 않겠습니다!
ETC_20150317_005203	Please defeat Rogue Master!	로그 마스터를 제압하세요!
ETC_20150317_005204	Here I go!	그럼 간다!
ETC_20150317_005205	Please defeat Rocktortuga and obtain the natural agate stone!	락토르투가를 처치하고 천연 마노석을 습득하세요!
ETC_20150317_005206	Defeat Schwarzer Reiter!	슈바르츠라이터를 제압하세요!
ETC_20150317_005207	Please defeat Deadbone!	데드본을 처치하세요!
ETC_20150317_005208	Please defeat Rajatoad!	라자토드를 처치하세요!
ETC_20150317_005209	Monsters have appeared!	몬스터들이 출현했습니다!
ETC_20150317_005210	Oil Boxes	기름 상자
ETC_20150317_005211	Broken Owl Statue	부서진 부엉이 조각상
ETC_20150317_005212	Keepsake of an unknown solider	무명 병사의 유품
ETC_20150317_005213	Key Manager Hallowventer	열쇠 지기 할로우벤터
ETC_20150317_005214	Load of Necroventer	네크로벤터의 부하
ETC_20150317_005215	See? I was right!	내 말이 맞잖아!
ETC_20150317_005216	It's impossible.	말도 안돼!
ETC_20150317_005217	Run for now!	일단 도망쳐!
ETC_20150317_005218	Defeat the monsters attracted to bait!	미끼에 이끌린 몬스터 처치!
ETC_20150317_005219	Demon Bait	마족 미끼
ETC_20150317_005220	Protect the souls so that they may be lead to the Statue of the Goddess!	여신상으로 영혼들이 인도될 수 있도록 보호해 주세요!
ETC_20150317_005221	Throneweaver has appeared!	쓰론위버가 나타났습니다!
ETC_20150317_005222	Bait in place	놓여진 미끼
ETC_20150317_005223	Help me!	도와주세요!
ETC_20150317_005224	Skilled Mechanic	숙련 기계공
ETC_20150317_005225	Kemanakah Goddess pergi...	여신께선 어디로 가셨나이까..
ETC_20150317_005226	Berikan kami damai dan keselamatan...	저희에게 구원과 안식을..
ETC_20150317_005227	Dengarkanlah doa kami...	저희의 기도를 들어주시옵소서..
ETC_20150317_005228	Untuk kedamaian dan kebahagiaan...	평화와 행복을..
ETC_20150317_005229	There! The spider is coming!	저기! 거미가 몰려오고 있소!
ETC_20150317_005230	Lylia suddenly turned into a carnivore!	릴리야가 갑자기 카너버로 변해 버렸습니다!
ETC_20150317_005231	Lylia that changed to carnivore	릴리야가 변한 카너버
ETC_20150317_005232	Pilgrim Julius changed to Draperiun!	순례자 율리우스가 드라페리운으로 변했습니다!
ETC_20150317_005233	Once touch the food pile then RiverFeed appear!	식량무지를 건드리자 리버피드가 나타났습니다!
ETC_20150317_005234	Carrion worm	썩은 고기 무더기*
ETC_20150317_005235	Pilgrim Janus	순례자 재뉴스*
ETC_20150317_005236	Hey! Who are you?	뭐야 너 이녀석!
ETC_20150317_005237	Tree Root Crystal of Fatigue	나태의 나무뿌리 수정
ETC_20150317_005238	Protection device for the Root Crystal of Fatigue appeared!{nl}Destroy them all within the time limit!	나무뿌리 수정 보호장치가 나타났습니다!{nl}정해진 시간 내에 이것들을 모두 파괴하세요!
ETC_20150317_005239	Protection device for the crystal root	나무뿌리 수정 보호장치
ETC_20150317_005240	The Modified Tree Root Crystal has ignited suddennly! {nl} Get some stuff to extinguish this fire from monsters.	변형 나무뿌리 수정이 갑자기 불이 붙었습니다! {nl}몬스터들로부터 이 불을 잠재울 만한 것을 구해 봅시다!
ETC_20150317_005241	Modified tree root turned into a cactusvel!{nl}Defeat the Cactusvel!	변형된 나무뿌리 수정이 캑터스벨로 변했습니다!{nl}캑터스벨을 처치하세요!
ETC_20150317_005242	Pilgrim Grazzios	순례자 그라찌우스*
ETC_20150317_005243	Defeat all the monsters summoned by the soul of pilgrim within the time limit!	순례자의 영혼이 불러 낸 몬스터들을 시간 안에 모두 물리치세요!
ETC_20150317_005244	You killed me Demon master... You traitors deceived me...	날 죽인 마군주.. 날 속인 배신자들..
ETC_20150317_005245	Altar of Rage	분노의 제단
ETC_20150317_005246	Get rid of Merge who restricted the soul.	영혼을 속박시킨 머지를  처치하세요!
ETC_20150317_005247	Bound Soul	머지에게 속박된 영혼
ETC_20150317_005248	Am I free?	풀려 난 건가?
ETC_20150317_005249	Set me free!	날 풀어줘!
ETC_20150317_005250	Ironbaum has appeared in the Sanctuary!	성소에서 아이언 바움이 나타났습니다!
ETC_20150317_005251	Sanctuary is not working and monsters that suddenly appeared are trying to attack the sanctuary!	성소는 작동하지 않은 채 갑자기 몬스터들이 튀어 나와서 성소를 공격하려 합니다!
ETC_20150317_005252	Blessing of Sanctuary	축복의 성소*
ETC_20150317_005253	You got a small and dirty portrait from the Tombstone!{nl}and monsters are flocking from nearby!	묘비에서 흙 묻은 작은 초상화를 얻었습니다!.{nl}그리고 묘비 근처에서 몬스터들이 몰려나왔습니다!
ETC_20150317_005254	Tombstone	묘비
ETC_20150317_005255	Has been fooled by the pilgrim!	순례자에게 속았습니다!
ETC_20150317_005256	Follow me.	날 따르시오.
ETC_20150317_005257	They help you.	이들이 당신을 도울 것이요.
ETC_20150317_005258	Altar of Purification	정화의 제단
ETC_20150317_005259	Monster appeared when collecting the body of the bishop!	주교의 시신을 수습하자 몬스터 등장!
ETC_20150317_005260	Bishop's Tomb	주교의 무덤
ETC_20150317_005261	It doesn't seem like the slate you are looking for.	찾고 있는 석판이 아닌것 같습니다.
ETC_20150317_005262	Achat appeared just like Raymond said!	레이몬드가 말한 대로 에하트가 나타났습니다!
ETC_20150317_005263	Smid was murdered!{nl}Please defeat Magbirk!	스미드가 살해당했습니다!{nl}매그버크를 처치하세요
ETC_20150317_005264	Magbirk killed the Epigraphist Smid!{nl}Please defeat Magbirk!	금석학자 스미드가 매그버크에게 살해당했습니다!{nl}매그버크를 처치하세요!
ETC_20150317_005265	Ruklys Monument	루클리스 기념비
ETC_20150317_005266	Over here, teacher!	스승님 여깁니다!
ETC_20150317_005267	I was just about to try remaking the inscription rubbing..	마침 탁본을 다시 만드려고..
ETC_20150317_005268	We finally did it!	우리가 드디어 해냈구나!
ETC_20150317_005269	Chapparition appeared while rubbing the inscription!{nl}Please defeat Chapparition!	탁본작업 중 채퍼리션이 나타났습니다!{nl}채퍼리션을 처치하세요!
ETC_20150317_005270	An uncontrollable Necroventer was summoned.{nl}The experiment has failed. Please defeat Necroventer!	통제불능의 네크로벤터가 소환됐습니다.{nl}실험은 실패입니다. 네크로벤터를 처치하세요
ETC_20150317_005271	Uncontrollable Necroventer	통제불능 네크로벤터
ETC_20150317_005272	Please defeat Unicorn together with Soldier's Soul!	병사들의 영혼과 함께 유니콘을 처치하세요!
ETC_20150317_005273	It's here. Let's go!	나왔다. 가자!
ETC_20150317_005274	Reaverpede made a surprise attack{nl}Please defeat Reaverpede!	리버피드가 습격했습니다.{nl}리버피드를 처치하세요!
ETC_20150317_005275	Beacon	봉화대
ETC_20150317_005276	Look. I'll be hiding.	거 보게. 나는 숨어 있겠네.
ETC_20150317_005277	Artifact of royal tomb	왕릉의 유물
ETC_20150317_005278	Protect Archivist Jonas from the monsters until his headache is gone!	기록관 요나스의 두통이 사라질 때 까지 몬스터로부터 그를 보호하세요!
ETC_20150317_005279	It's the molich! Run!	몰렉이다! 도망쳐!
ETC_20150317_005280	Monsters have appeared while trying to open the seal!{nl}You have to stay alive until the time is up!	봉인을 풀려고 하자 몬스터들이 출현했습니다!{nl}정해진 시간 동안 살아 남아야 합니다!
ETC_20150317_005281	The first seal of Sanctuary	성소의 첫 번째 봉인
ETC_20150317_005282	A secondary seal device was summoned when you touched the seal!{nl}Destroy the secondary seal device!	봉인을 건드리자 보조 봉인 장치가  소환되었습니다! {nl}보조 봉인 장치를 파괴 하세요!
ETC_20150317_005283	Sanctuary's second seal	성소의 두 번째 봉인
ETC_20150317_005284	Secondary Sealing Device	보조 봉인 장치
ETC_20150317_005285	Sanctuary's third seal	성소의 세 번째 봉인
ETC_20150317_005286	Ancient Pillars	고대 양식 기둥
ETC_20150317_005287	Get rid of Yonazollem which Todou brought.	토도우가 끌고 온 요나졸렘을 처치하세요!
ETC_20150317_005288	I see Tudou made your way! Well then I will spare myself!	토도우 납셨네! 난 이만 몸 사리러!
ETC_20150317_005289	Casting	거푸집
ETC_20150317_005290	Mercenary Tudou	용병 토도우
ETC_20150317_005291	What is this monster! Hey Vincent! Stop!	뭐야 이 몬스터는! 야 빈센트! 거기 서! 
ETC_20150317_005292	I said stop!	거기 서라고!
ETC_20150317_005293	Stone Pillar	돌기둥
ETC_20150317_005294	Monsters have suddenly appeared when you touched the stone pillar!	돌기둥을 건드렸더니 갑자기 몬스터들이 출현 했습니다!
ETC_20150317_005295	The looming monster snatched the map!{nl}Find the map from the monsters nearby!	갑자기 나타난 몬스터가  지도를 낚아채 갔습니다! {nl}주변의 몬스터로부터 지도를 되찾으세요!
ETC_20150317_005296	Monsters are flocking in as you found the map!	지도를 얻자마자 갑자기 몬스터들이 몰려 옵니다!
ETC_20150317_005297	West Region Barrier	서쪽지역 결계
ETC_20150317_005298	If you touch it like that..	그걸 그렇게 만지시면..
ETC_20150317_005299	I'm sorry. Please take care of the events to follow!	미안해요. 뒷 일을 부탁할게요!
ETC_20150317_005300	Do you see something?	뭔가 보이는게 있습니까?
ETC_20150317_005301	No. I don't see anything.	제 눈엔 아무것도 보이질 않는군요.
ETC_20150317_005302	This is...	이건.. 
ETC_20150317_005303	Can't breathe...	숨을 쉴 수가..
ETC_20150317_005304	Varkis	바키스
ETC_20150317_005305	The monsters that drove this solder to death have appeared!{nl}Defeat them in memory of the soldier!	이 병사를 죽음으로 몰고 간 몬스터들이 나타난 것 같습니다!{nl}이들을 처치하고 병사의 명복을 빌어 주세요!
ETC_20150317_005306	Defeat them	처지해라
ETC_20150317_005307	Oh no!!	큰일이예요!!
ETC_20150317_005308	You have to stop the Rexipher!!!	어서 렉시퍼를 막아야 되요!!!
ETC_20150317_005309	Aarrgh!!!!	으악!!!!
ETC_20150317_005310	Help me!!!	도와줘요!!!
ETC_20150317_005311	If you disturb me again..	 더 이상 나를 방해하면..
ETC_20150317_005312	This woman will disappear from the world.	이 여자는 세상에서 사라질 것이다
ETC_20150317_005313	Colleague of Piforty	피포티의 동료
ETC_20150317_005314	Ugh.. Help	으...사람 살려
ETC_20150317_005315	Chapparition appeared and destroyed Kuzang's stuff!{nl}Please defeat Chapparition!	채퍼리션이 나타나 쿠쟝의 물건을 부쉈습니다!{nl}채퍼리션을 처치하세요!
ETC_20150317_005316	Your luck ends here!!!!	너의 운은 여기까지다!!!!
ETC_20150317_005317	Block!!	막아라!!
ETC_20150317_005318	I-It's the Golem!	고, 골렘이다!
ETC_20150317_005319	Aras	아라스
ETC_20150317_005320	Now!	지금!
ETC_20150317_005321	Demon	마족
ETC_20150317_005322	You fool	어리석은 녀석
ETC_20150317_005323	I will make you more painful	더 고통스럽게 해주마
ETC_20150317_005324	Local Herbalist	지역 약초상
ETC_20150317_005325	... and you can eliminate it.	..해서 없앨 수 있습니다요.
ETC_20150317_005326	Found it, the revelator..{nl}Finally..	찾았다, 계시자..{nl}드디어..
ETC_20150317_005327	It's...it's a monster?!	이건.. 몬스터잖아?
ETC_20150317_005328	That monster..I can make some good use of it.	저 몬스터.. 쓸만하겠어.
ETC_20150317_005329	Wait, that guys is..	잠깐, 저 자는..
ETC_20150317_005330	Yes! We also would like to go out and fight!	그렇습니다! 저희도 나가서 싸우고 싶습니다!
ETC_20150317_005331	I gave it to Malt {nl}You can trust him	몰트라는 믿을만한 {nl}친구에게 맡겼습니다.
ETC_20150317_005332	Spion is my friend.{nl}I would like to go with him if you'd allow	스피온은 저희의 친굽니다.{nl}허락만 해주신다면 함께 가고 싶습니다
ETC_20150317_005333	With your permission{nl} I would like to fight in the battle!	라이몬다스님만 허락해 주신다면{nl}꼭 전선에 나가고 싶습니다!
ETC_20150317_005334	Sound like this!	이런 소리지!
ETC_20150317_005335	You, come with me!	넌 나랑 같이 가자꾸나!
ETC_20150317_005336	Brann	브란
ETC_20150317_005337	The herb finder a while ago?	아까 그 약초꾼?
ETC_20150317_005338	Spion!!!!!	스피온!!!!!
ETC_20150317_005339	Feet	피트
ETC_20150317_005340	What do you mean?	무슨 소리야?
ETC_20150317_005341	For the moment being, from the Golem!	일단 골렘부터!
ETC_20150317_005342	Burning the dumble ball called on the angry Vubbes!	덤블볼을 태우자 화가 난 부베들이 달려듭니다!
ETC_20150317_005343	Austeja Follower	아우스테야 신도
ETC_20150317_005344	Goddess Austeja	여신 아우스테야
ETC_20150317_005345	Austeja Altar	아우스테야 제단
ETC_20150317_005346	Sealed Tower	봉인탑
ETC_20150317_005347	Giant Mutated Plant	거대한 변이 식물
ETC_20150317_005348	You are the Revelator.	당신이 바로 그 계시자로군요.
ETC_20150317_005349	The causes which beeing occurred in this place are somewhere else	이곳에서 일어나고 있는 일들의 원인은 다른 곳에 있습니다.
ETC_20150317_005350	It's difficult to talk here so come and find me in the Swaying Arable Land.	이곳에선 이야기하기 어려우니 흔들리는 경작지로 찾아와주시기 바랍니다.
ETC_20150317_005351	Research Tools	조사도구
ETC_20150317_005352	Disana, ada Poata kecil!	저기, 새끼 포아타입니다!!!
ETC_20150317_005353	Ikut dia!! Kamu tidak boleh gagal kali ini!!!	쫓아라!! 이번엔 놓치면 안돼!!!
ETC_20150317_005354	Jangan pergi keluar camp!! Kita harus kembali!	캠프를 벗어나면 안돼!!! 아쉽지만 돌아가자!!
ETC_20150317_005355	Hei!!! Berhenti! Itu berbahaya!!	이봐!!! 멈춰 위험해!!
ETC_20150317_005356	Kembali ke Camp! Sekarang!	캠프로 돌아가 어서!!
ETC_20150317_005357	Kemari, Aku akan mengatasi yang ini..	자, 수속은 제가 할테니...
ETC_20150317_005358	Suara apa itu?	이 비명소리는 뭐지?
ETC_20150317_005359	Bersiaplah untuk bertempur!	전투 준비!
ETC_20150317_005360	Serangan Dadakan!!	습격입니다!!
ETC_20150317_005361	Refugee	피난민
ETC_20150317_005362	Dia…dia bergerak!!	움...움직이잖아!!
ETC_20150317_005363	Itu..Itu adalah Golem!!!	고..골렘이다!!!
ETC_20150317_005364	Mengapa ada sisa bagian Golem di tempat ini?	이런 곳에 왜 골렘 잔해가 있는거지?
ETC_20150317_005365	Hei!!! Ini berbahaya!! Lari!!	이봐!!! 위험해!! 도망쳐!!
ETC_20150317_005366	Apa sudah mati?	죽은 걸까요?
ETC_20150317_005367	Huh..!!	어...엇!!
ETC_20150317_005368	Kalahkan Large Kepa!	달려드는 대형 케파를 처치하세요!
ETC_20150317_005369	Large Kepa ada disini!	대형 케파가 여기까지..!
ETC_20150317_005370	Alchemist Vaidotas	연금술사 바이도타스
ETC_20150317_005371	2nd Mine Lot Closed	2광구 폐쇄 안내
ETC_20150317_005372	Evakuasi para penduduk!	주민들을 대피시켜!!
ETC_20150317_005373	Stop!!	멈춰라!!
ETC_20150317_005374	Eastern Woods Soldier	동쪽 숲 병사
ETC_20150317_005375	Come on let's go! Honey! Dad!	자 어서 갑시다 여보, 아부지!
ETC_20150317_005376	That's really good news. Let's go!	정말 다행이네요. 어서 가요!
ETC_20150317_005377	I'm old and just causing you troubles..	늙은 것이 너희들 고생만 시키는구나..
ETC_20150317_005378	Get rid of the Vubbes marching in!	달려드는 부베들을 처치하세요!
ETC_20150317_005379	Good Job!	정말 고생하셨어요!
ETC_20150317_005380	Where are you!!!	어딨어!!!
ETC_20150317_005381	Come Out!	일로 나오라고!!!
ETC_20150317_005382	Thorny gateway	가시 관문
ETC_20150317_005383	A bag contained with something	무언가 담겨있는 주머니
ETC_20150317_005384	Get rid of the monsters attacking while the magic stone is being refined.	마력수정을 정제하는 동안 습격해 오는 몬스터 처치
ETC_20150317_005385	Follower of Goddess Saule	사울레 여신의 신도
ETC_20150317_005386	Change Summon	소환 수정
ETC_20150317_005387	Destroy the summon barrier of Demon army	마족 소환진 파괴하기
ETC_20150317_005388	Follower of Goddess Saule	샤울레 여신의 신도
ETC_20150317_005389	It's the Merogues!	메로그들입니다!
ETC_20150317_005390	Protect the altar of purification from the monsters	정화의 제단을 몬스터에게서 보호하세요
ETC_20150317_005391	Honeypin appeared!	허니핀 등장!
ETC_20150317_005392	Drink the enhanced thorn pollen stimulant before passing by!	강화된 가시 꽃가루 각성제를 마신 후 지나가자!
ETC_20150317_005393	Revelation	계시
ETC_20150317_005394	Run! It's dangerous here!	여긴 위험하니 도망치십시오!
ETC_20150317_005395	Are you the support?	지원인가?
ETC_20150317_005396	Run!!	도망쳐!!
ETC_20150317_005397	Rotten tree stump	썩은 나무 등걸
ETC_20150317_005398	Temporary Cronewt	크로뉴트 임시
ETC_20150317_005399	Temporary Hoglan	인프로 호글란 임시
ETC_20150317_005400	Finally,, Is this battle..	드디어 전투인가.
ETC_20150317_005401	Hey new recruit, don't be too scared.	신병, 너무 겁먹지 말라고.
ETC_20150317_005402	Where is it?	어디지?
ETC_20150317_005403	Let's go! You too new guy!	가자! 신병도 따라와!
ETC_20150317_005404	Gaigalas appeared!	가이갈라스가 나타났어!
ETC_20150317_005405	This way. Follow me!	이쪽이다. 따라와!
ETC_20150317_005406	Tomb	무덤
ETC_20150317_005407	Entrance Warning	입구 경고문
ETC_20150317_005408	Royal Tomb Suppressor	왕릉 억제기
ETC_20150317_005409	Guardian Purifier	수호자 정화장치
ETC_20150317_005410	Malfunctioning Guardian Device	오작동하는 수호장치
ETC_20150317_005411	As soon as the Demon force has cleared, Demon army are trying to defeat it!	마력이 정화되자 마족이 저지하려 합니다!
ETC_20150317_005412	Protect the royal tomb stone lanterns from the guardians!	수호자들로부터 왕릉 석등 보호!
ETC_20150317_005413	Monument of the Royal Tomb	왕릉비석
ETC_20150317_005414	Malfunctioning Echad	오작동하는 에하드
ETC_20150317_005415	Pot of Magic Power	마력 옹기
ETC_20150317_005416	Archon appeared to stop the controller from being destroyed!	아콘이 제어기 파괴를 저지하기 위해 나타났습니다!
ETC_20150317_005417	Contaminated Royal Tomb Magic Control Device	오염된 왕릉 마력 제어기
ETC_20150317_005418	Stop the royal tomb guards from destroying the royal tomb!	왕릉을 파괴하려는 왕릉 수호자 저지!
ETC_20150317_005419	Stop Bearkaras from destroying the Royal tomb	왕릉을 파괴하려는 베아카라스 저지
ETC_20150317_005420	Jar of Soul	영혼의 항아리
ETC_20150317_005421	Intact Jar of Soul	온전한 영혼 항아리
ETC_20150317_005422	Archer 2nd Circle required	아처 2서클 필요
ETC_20150317_005423	Archer 3rd Circle required	아처 3서클 필요
ETC_20150317_005424	Barbarian 2nd Circle required	바바리안 2서클 필요
ETC_20150317_005425	Barbarian 3rd Circle required	바바리안 3서클 필요
ETC_20150317_005426	Bokor 2nd Circle required	보코르 2서클 필요
ETC_20150317_005427	Bokor 3rd Circle required	보코르 3서클 필요
ETC_20150317_005428	Cataphract 2nd Circle required	캐터프락트 2서클 필요
ETC_20150317_005429	Cataphract 3nd Circle required	캐터프락트 3서클 필요
ETC_20150317_005430	Cleric 2nd Circle required	클레릭 2서클 필요
ETC_20150317_005431	Cleric 3rd Circle required	클레릭 3서클 필요
ETC_20150317_005432	Dievdirbys 2nd Circle required	딥디르비 2서클 필요
ETC_20150317_005433	Dievdirbys 3rd Circle required	딥디르비 3서클 필요
ETC_20150317_005434	Elementalist 2nd Circle required	엘레멘탈리스트 2서클 필요
ETC_20150317_005435	Elementalist 3rd Circle required	엘레멘탈리스트 3서클 필요
ETC_20150317_005436	Pyromancer 2nd Circle required	파이로맨서 2서클 필요
ETC_20150317_005437	Pyromancer 3rd Circle required	파이로맨서 3서클 필요
ETC_20150317_005438	Cryomancer 2nd Circle required	크리오맨서 2서클 필요
ETC_20150317_005439	Cryomancer 3rd Circle required	크리오맨서 3서클 필요
ETC_20150317_005440	Highlander 2nd Circle required	하이랜더 2서클 필요 
ETC_20150317_005441	Highlander 3rd Circle required	하이랜더 3서클 필요 
ETC_20150317_005442	Hoplite 2nd Circle required	하플라이트 2서클 필요
