QUEST_20150317_000001	Pilih Quest yang akan dimodifikasi.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150414_001884	Jangan percayai siapapun. Goddess, atau dirimu sendiri. 	이 곳에선 아무도 믿지 말아라. 여신도 네 자신도 말이다.
QUEST_20150414_001885	Demon Monarch Houberg. The Goddess does not wish to fight against you. {nl}Stop your hostile action towards the Goddess. 	마군주 하우벅. 여신께선 당신과 대립할 의사가 전혀 없으십니다.{nl}여신을 향한 적대적인 행위는 멈춰 주십시오.
QUEST_20150414_001886	You guys prepare to make the Evening Star Key. {nl}Hurry, there is not enough time. I will send the Revelator soon. 	너흰 저녁별 열쇠를 만들 준비를 하거라.{nl}시간이 없으니 서둘러라. 곧 계시자를 보내겠다.
QUEST_20150414_001887	My soul is mine, only mine!	내 영혼은 오직 나만의 것이다!
QUEST_20150414_001888	I gathered my soul thanks to you. {nl}But this.. Isn't this the reverting chain that shredded my soul. {nl}	덕분에 나의 영혼을 모을 수 있었다.{nl}그런데 이건.. 내 영혼을 찢어발긴 환원의 사슬 아닌가.{nl}
QUEST_20150414_001889	Right. Now I get it..{nl}The plan was to block the contamination gap with the power of my soul? 	그렇군. 이제야 알겠어..{nl}내 영혼의 힘으로 전이 틈새를 막을 작정이었나보지?{nl}
QUEST_20150414_001890	Give me that power. {nl}It's a power that the Goddess should take care of. 	그 힘을 제게 넘겨주세요.{nl}여신께서 거두셔야 할 힘입니다.
QUEST_20150414_001891	Receptionish Brandon	접수원 브렌든
QUEST_20150428_001892	The information to share with you is not getting gathered.	알려드릴 정보가 모이지 않았습니다.
QUEST_20150428_001893	It's better to use the cable car than heading straight into the monsters.	몬스터 한복판을 헤쳐가느니 차라리 케이블카를 이용하는게 훨씬 좋지요.
QUEST_20150428_001894	You can get to the other end by using the cable car.	케이블카를 이용하면 반대편으로 한 번에 갈 수 있습니다.
QUEST_20150428_001895	Careful! This must be Antares' doing. {nl}It will explode if you go near it. {nl}It's better to get rid of them by luring each of them one by one.	조심해요! 분명 이건 안타라스 짓이 틀림없어요.{nl}가까이 다가가면 폭발할 거예요.{nl}몬스터를 유인해서 하나하나 제거하는 게 좋겠어요.
QUEST_20150428_001896	Please protect me as I stabilize the Jewels of Prominence. I need to concentrate.	제가 홍염의 보석을 안정시키는 동안 방해받지 않도록 보호해 주세요.
QUEST_20150428_001897	Okay... Let me see the completed jewel you put so much effort into making. {nl}I don't know about you but I really like it, huhuhu...	그래.. 홍염의 보석을 만드느라 수고했으니 결과물을 한번 봐야겠지?{nl}난 정말 마음에 드는데 너는 어떠려나 모르겠네, 후후후..
QUEST_20150428_001898	Torn Letter	바스러져 가는 쪽지
QUEST_20150428_001899	Ripped Diary	찢어진 일기
QUEST_20150428_001900	Last Record	마지막 기록
QUEST_20150428_001901	Abandoned Diary	버려진 일기장
QUEST_20150428_001902	The goddess left many things to the first Paladin: {nl}The threat of the Demon Queen, Gesti, and the mission to protect. {nl}She also mentioned that the Savior would come.	여신께선 초대 팔라딘에게 여러 가지를 남기셨어.{nl}마왕 제스티의 위협이라던가, 지켜야 할 사명이라던가.{nl}그 중엔 구원자가 올 것이라는 말씀도 있었지.{nl}
QUEST_20150428_001903	The Royal Mausoleum that was mentioned in the revelation is located too far away from you.{nl}I'll open the portal for you.	계시에서 말하는 왕릉은 그대의 발걸음으론 너무나 먼 곳에 있습니다.{nl}제가 포탈을 열어 드리지요.
QUEST_20150428_001904	(You can feel the fading existence around.)	주변에서 무언가 흐릿한 존재가 느껴진다.
QUEST_20150428_001905	Beings that were once invisible are starting to appear...	여태까지 보이지 않던 것들이 보이기 시작한다.
QUEST_20150428_001906	No responses now.	지금은 아무런 반응이 없다.
QUEST_20150428_001907	The altar is already activating.	이미 제단이 작동중이다.
QUEST_20150428_001908	The candlestick is already lit.	이미 촛대에 불이 켜져있다.
QUEST_20150428_001909	You will need something to light it with...	불을 켤 수 있을 만한 게 필요해 보인다.
QUEST_20150428_001910	It seems that it is reacting to something lightly.	무언가에 약하게 반응하고 있는 것 같다.
QUEST_20150428_001911	The altar is missing something to activate.	제단을 작동하기엔 무언가 부족한거 같다.
QUEST_20150428_001912	You feel a great energy coming from the altar.	제단에서 강력한 기운이 느껴진다.
QUEST_20150428_001913	You feel an unknown force.	알 수 없는 힘이 느껴진다.
QUEST_20150428_001914	The monsters weaken as the eerie shadow disappears.	음산한 그림자가 사라지자 몬스터가 약해진다.
QUEST_20150428_001915	Looks like it can't absorb any more.	지금은 더 이상 흡수할 수 없을 것 같아 보인다.
QUEST_20150428_001916	You feel like you're being sucked into the light...	왠지 이 빛에 빨려들 것만 같다.
QUEST_20150428_001917	You can't find anything yet.	지금은 아무것도 발견할 수 없다.
QUEST_20150428_001918	Refugee Husband	피난민 남편
QUEST_20150428_001919	Refugee Wife	피난민 아내
QUEST_20150428_001920	It is very fortunate. {nl}Shall we return to the village?	정말 다행이에요.{nl}다시 마을로 돌아갈 수 있겠지요?
QUEST_20150428_001921	Will	유언장
QUEST_20150428_001922	How stingy. I'll have to be stingy as well then.	인색하기 짝이 없군요. 그럼 나도 인색할 수밖에.
QUEST_20150428_001923	Blackened Clue	그을린 실마리
QUEST_20150428_001924	This place is insane. {nl}The only way to get rid of this cursed Tree Root Crystal is to burn the place down. {nl}It should all be burned.	이 곳은 미쳤다. {nl}이 저주 받은 나무뿌리 수정을 없애기 위해서는 불을 지르는 수밖에 없어. {nl}불을 질러야 돼.
QUEST_20150428_001925	Diary written in Anger	분노로 휘갈긴 일지
QUEST_20150428_001926	I'll never forgive the monsters that killed my family. {nl}Though my body returns to the ground, my soul still burns with anger. {nl}Oh, goddess. Only the cold blood of the monsters can cool my rage.	나의 가족들을 앗아간 몬스터들을 도저히 용서할 수가 없다. {nl}비록 육신은 대지로 돌아가련만 나의 영혼만은 꺼지지 않은 분노로 불타오를 것이다. {nl}아아, 여신이시여. 차가운 몬스터의 체액만이 저의 분노를 식힐 수 있겠습니까.
QUEST_20150428_001927	Wrinkled Letter	구겨진 쪽지
QUEST_20150428_001928	Maven's teaching is ruined by the curse. {nl}Sinful Naktis. May the curse come upon you as well!	메이번의 가르침은 저주로 더럽혀져 버렸다.{nl}죄 많은 나크티스여. 그대도 저주받아라!
QUEST_20150428_001929	Savior, {nl}I shall show you the great will that you've been left.	구원자여.{nl}그대에게 계시에 남겨진 위대한 의지를 보여주리라.
QUEST_20150428_001930	Arune's Diary	아루네의 일지
QUEST_20150428_001931	Circumstances have changed. {nl}The demons needed more life energy for the Divine Tree.	상황은 변했다. {nl}마족들은 세계수를 위해 더 많은 생명의 힘을 필요로 했다. {nl}
QUEST_20150428_001932	They'll destroy and ravage more lives and then absorb them into the Divine Tree. {nl}We can never forgive them. {nl}They themselves should be returned to the Divine Tree.	그들은 더 많은 생명들을 파괴하고 유린하여 세계수로 흡수시킬 것이다.{nl}더 이상 그들을 용서해선 안 된다.{nl}세계수로 환원시켜야 한다.
QUEST_20150428_001933	Sigita's Diary	시기타의 일지
QUEST_20150428_001934	The demons' filthy bodies fall lifelessly on the wet ground of the Demons' Prison. {nl}They are against us and want to return it to one status.	마족 수감소의 축축한 땅 위에 마족들의 더러운 몸뚱이가 쓰러진다.{nl}이들은 우리의 반대편에 선 자이자 하나의 상태로 되돌리려는 자들이다.{nl}
QUEST_20150428_001935	The vicious energy they release wouldn't disappear without any of the divine power's intervention.	그들이 내뿜는 사악한 기운은 신성한 힘에 의해 모든 형태를 잃고 사라질 것이다.
QUEST_20150428_001936	The Command Letter of Ausrine	아우슈리네의 명령서
QUEST_20150428_001937	We will lock those who oppose us in the isolated place between two worlds.	세계와 세계의 틈 사이에 끼인 외딴 곳.{nl}이 곳에 우리의 반대편에 선 자들을 가두어 영원히 격리하리라.
QUEST_20150428_001938	Unknown Adventurer's Diary	이름 모를 모험가의 일지
QUEST_20150428_001939	The house of the family cursed with revenge and slaughter welcomed us. {nl}As we stepped into the house, the tangled vines grasped our knees.	배신과 살육으로 저주받은 가문의 저택이 우리를 환영했다.{nl}문을 열고 한 발을 내딛자 바닥에 아무렇게나 얽히고 설킨 덩굴들이 발목을 붙잡는다.{nl}
QUEST_20150428_001940	We released the seals as we defeated the monsters. {nl}The treasures of Legwyn Family are hidden somewhere in this house... {nl}We will find them. 	우리는 몬스터를 해치워가면서 봉인을 풀기 시작했다.{nl}저택 어디엔가 숨겨져있다는 르귄가물의 보물..{nl}우리는 반드시 찾아낼 것이다.
QUEST_20150428_001941	Beikeol's Reply	베이키얼의 답장
QUEST_20150428_001942	I've received your letter. {nl}It's great to hear that the lads of Legwyn family trusts you.	자네의 편지는 잘 받았네.{nl}르귄가의 망할 녀석이 자네를 신뢰하고 있다니 다행이군.{nl}
QUEST_20150428_001943	I've changed the name on this certificate for you so return the rest of documents to me. {nl}I guarantee either his will or his land document.	이 권리증은 자네 이름으로 내가 변경했으니 나머지 문서들도 보내 놓게.{nl}그의 유서라던가 땅문서도 내가 보증하겠네.{nl}
QUEST_20150428_001944	I'll provide the down payment like last time. {nl}You take care of everything and as well as the daughter of Legwyn who went overseas to study.	착수금은 저번의 방식대로 지불하도록 하지.{nl}모든 건 자네가 알아서 하고 유학간 르귄의 딸도 처리하도록.
QUEST_20150428_001945	Purchase Order	주문 내역서
QUEST_20150428_001946	As requested, I am sending you the roots of the aconites that we harvested this spring. {nl}They can make stomachaches, dizziness, and pain go away.	요청하신대로 봄에 수확한 바꽃의 덩이뿌리를 보내드립니다.{nl}속 통증과 어지럼증, 진통에 효과를 보실 수 있습니다.{nl}
QUEST_20150428_001947	One more thing. Do not consume too much at once, it could be fatal. {nl}Doses should be smaller than the size of a nail and consumed after being melted in liquor.	추신. 절대 한번에 많은 양을 드시지 마십시오. 죽음에 이를 수 있습니다.{nl}반드시 손톱보다 더 적게 떼어 술에 타 드셔야 합니다.
QUEST_20150428_001948	Watcher's Epitaph	파수꾼의 묘비
QUEST_20150428_001949	As the wind sways, as the leaves fall down. {nl}If falling down, then as falling down. {nl}When I sing my song, the night would come and the sun would go down.	바람이 불면 부는 대로, 나뭇잎이 지면 지는 대로.{nl}스러져야 한다면 스러지는 대로.{nl}나의 노래를 부르면 밤이 오고 해가 지리.{nl}
QUEST_20150428_001950	He rests here after fighting against the herd of evil with the first Paladin.	초대 팔라딘과 함께 악에 무리에 맞서 싸우다 이곳에 잠들다.
QUEST_20150428_001951	Born as a son of a Watcher. Completed the construction of the Tenet Church. He rests here.	파수꾼의 아들로 태어나 테넷 성당을 완공하고 여기에 눕다.
QUEST_20150428_001952	Mother, please don't cry. {nl}I am finally free of the curse.	어머니, 부디 슬퍼하지 마세요.{nl}저는 마침내 저주로부터 자유로워졌습니다.
QUEST_20150428_001953	Finally, you sleep like you are at your mother's house. {nl}You don't have to worry about the pain any more. {nl}You don't have to wait for the salvation from the goddess.	이제 당신은 마치 어머니 집에 있는 것처럼 잠자고 있네.{nl}살갗이 벌어지는 고통을 두려워할 일도 이제 없지. {nl}여신의 구원을 바랄 일도 이제 없지.{nl}
QUEST_20150428_001954	In the touch of the goddess. Beside the mother. {nl}Sleeping. Having a sleep. {nl}Me, who is not beside, getting lean and hardened like a winter tree.	여신의 손길에. 어머니의 곁에. {nl}잠자고 있네. 잠들어 있네.{nl}그 곁에 없는 나는 더 마르고 겨울나무처럼 굳었네.
QUEST_20150428_001955	The sons of the Watchers rest here.	파수꾼의 아들들아 이 곳에 고이 잠들지니라.
QUEST_20150428_001956	The Grass of King Zachariel	자카리엘 왕의 사초
QUEST_20150428_001957	The king told those who engraved the letters and the symbols onto the hard woods {nl}to abstain from sin, but they lost their memories as the king ordered. {nl}I did it because I was afraid that the demons and the people with malicious intent may steal my artifacts. {nl}However, I don't want to repeat that for my people.	왕께서 가로되,{nl}단단한 석재에 문자와 문양을 새긴 사람들은 아무 죄도 없었으나 짐의 명령에 따라 강제로 자신이 한 일을 잊도록 기억이 지워졌소.{nl}비록 마족이나 사악한 목적을 지닌 자들이 짐의 유산을 탐낼까 두려워 행한 일이기는 하오.{nl}그러나 짐은 가능하다면 백성에게 그 같은 행위를 다시는 되풀이하고 싶지 않소이다.{nl}
QUEST_20150428_001958	(The book has rotted so much that nothing inside can be read.)	(책이 많이 삭아 내용이 보이질 않는다){nl}
QUEST_20150428_001959	The minister said, {nl}'We already heard the words of His Majesty. {nl}We don't know exactly why, but the reason the Royal Mausoleum was built was not to show off, {nl}but to prepare for the forecast that may bring chaos to the kingdom and change the future of the humans. {nl}If we don't do this important task, who will?'	그러자 율형대신이 아뢰길,{nl}이미 우리는 폐하의 말씀을 들은 바 있소이다.{nl}자세한 내막은 모르나 폐하께서 이 왕릉을 지으신 연유는 개인적인 과시욕이 아니고, 장차 왕국에 닥칠 재앙과 나아가 모든 인간의 미래를 좌우할 수도 있는 예언에 대비하는 것이니 이 중요한 일을 우리가 하지 않는다면 누가 한다는 말입니까?
QUEST_20150428_001960	Warning Sign for Unauthorized Entrants	무단출입금지 경고문
QUEST_20150428_001961	To protect the sacred secret of King Zachariel, no one may enter this facility.	자카리엘 왕의 신성한 비밀을 위해 이 시설물의 출입을 금한다.{nl}
QUEST_20150428_001962	Anyone entering here unauthorized will be punished for their sin.	누구든 허락없이 출입 시 왕명으로 그 죄를 물어 엄벌에 처할 것이다.
QUEST_20150428_001963	Eviction Order	퇴거 명령서
QUEST_20150428_001964	This facility will soon be shut down. {nl}I ask all construction workers and related people of the Royal Mausoleum to move out.	이 시설은 곧 폐쇄될 예정입니다.{nl}모든 건축 인부 및 왕릉 관련자들은 모두 퇴거해 주시길 바랍니다.
QUEST_20150428_001965	Baron Soldier Chagos' Diary	남작 사병 차고스의 일지
QUEST_20150428_001966	The magician, who appeared from somewhere, told the ignorant baron that the object is located here.	어디선가 나타난 그 마법사는 어리석은 남작에게 이 곳에 그것이 있다고 꼬드겼다.{nl}
QUEST_20150428_001967	The way to eternal youth. {nl}I can't find the way there: the place where only death awaits.	영원히 죽지도 않고 늙지도 않는 그 비법. {nl}도대체 죽음만이 기다리는 이 곳의 어디에 그런 것이 있단 말인가.
QUEST_20150428_001968	Crumbling Document	부스러져가는 공문
QUEST_20150428_001969	The Demon Lord Helgasercle, divided the spirit of the Demon Lord Hauberk. {nl}This was used to power the barrier that now surrounds the Mage Tower and then was scattered throughout the kingdom.	마군주 헬가 세르클이 마군주 하우벅의 영혼을 나누어 버렸다.{nl}그의 영혼은 마법사의 탑을 에워싸는 결계의 초석이 되어 왕국 곳곳에 흩뿌려졌다.{nl}
QUEST_20150428_001970	Many magicians came to break the barrier, but they could not succeed with just the foundations stones that were gathered at the tower.	그 결계를 해제하기위해 많은 마법사가 달려들었지만 탑에 모인 초석으로는 충분한 결과를 얻을 수 없다.{nl}
QUEST_20150428_001971	To all adventurers of the kingdom, {nl}the Mage Tower offers gold to those who bring back the fragments of Hauberk's spirit.	왕국의 모든 모험가들이여. {nl}마법사의 탑은 하우벅의 영혼을 모아오는 자에게 충분한 금을 사례하겠다.
QUEST_20150428_001972	Order to defeat the Demons	마족 처단 명령서
QUEST_20150428_001973	I hereby order in the name of Vakarine! {nl}After Medzio Diena, they can no longer be forgiven. {nl}They are trying to expand their power by penetrating into the crack that was created in the barrier.	바카리네의 이름으로 명한다.{nl}신수의 날 이후 도저히 그들은 용서받을 수 없는 지경에 이르렀다.{nl}게다가 그들은 나의 결계에 새겨진 전이 틈새를 타고 이 수감소에 세력 확장을 꾀하고 있다.{nl}
QUEST_20150428_001974	All the Kupoles here shall defeat Demon Lords Blut, Nuaele, and Baltrus first. {nl}The enemy will panic without their commanders and will be easier to defeat.	이 곳의 모든 큐폴들은 마군주 블룻, 누아엘레, 발트러스를 먼저 처단하도록 하라.{nl}그리하면 수장을 잃은 세력은 자연히 와해되어 나머지 잔당들을 처리하기 쉬울 것이다.{nl}
QUEST_20150428_001975	Kupoles who can't attack should concentrate on blocking the crack. {nl}We can't allow more demons from going to the Demon Lords.	전투가 불가능한 큐폴들은 전이 틈새를 막는 데에 집중하도록 하라.{nl}더 많은 마족들이 수감소 내의 마군주에게 합류하는 것을 막아야 한다.
QUEST_20150428_001976	How should I live from now on? {nl}I should have moved to Klaipeda.	앞으로 어떻게 살아가야 하죠?{nl}역시 클라페다로 이사갈껄 그랬나봐요.
QUEST_20150428_001977	Since you've placed them into the inventory, you can read them anytime.	인벤토리에 넣어 두었으니 언제든 꺼내어 읽어 보자.
QUEST_20150428_001978	Mirtis' power was so overwhelming that Cunningham had to make an important decision.	하지만 미르티스의 힘은 엄청났기에 커닝햄은 중요한 결단을 내릴 수밖에 없었다.{nl}
QUEST_20150428_001979	I hear that more and more monsters are appearing in the Baron Arleruno's land. {nl}Please defeat those monsters before they take any innocent lives.	아렐르노 남작령에서 알 수 없는 이유로 몬스터가 급증하고 있다고 합니다.{nl}인명 피해가 발생하기 전에 그 몬스터들을 처리해 주십시오.
QUEST_20150428_001980	According to the information I've gathered from the wings of Baibora, the demons come out in groups from a place called Demon's Prison. {nl}Please help us with this to prevent a greater chaos from happening.	바이보라의 날개에서 입수한 정보로는 마족 수감소라는 곳에서 마족들이 쏟아져 나올지도 모른다고 합니다.{nl}더 큰 재앙이 벌어지지 않도록 지원을 부탁드립니다.
QUEST_20150428_001981	Help the druids that were dispatched to the farm of the Green Family. {nl}They're looking for people who can help with the mass purification.	그린가의 농장에 파견된 드루이드들을 도와 주십시오.{nl}대규모 정화에 도움을 주실 분들을 찾고 있다고 합니다.
QUEST_20150428_001982	Dina Bee Farm is in danger of monster attacks. {nl}They can't even work so they desperately need help.	사악한 기운의 영향을 받은 몬스터들의 공격으로 다이나 양봉지가 위험합니다.{nl}생계를 이어가지 못할 정도라 도움이 절실하다는 군요.
QUEST_20150511_001983	It's better to use the cable car than to fight through the monsters.	몬스터 한복판을 헤쳐가느니 차라리 케이블카를 이용하는 게 훨씬 좋지요.
QUEST_20150511_001984	Just don't believe everything he says. {nl}He was known for being quite the show-off back at home.	저 친구 말 너무 믿지 않는 게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}
QUEST_20150511_001985	Adanya mimpi revelation adalah pertanda yang baik untuk munculnya Goddess.	계시자들이 나타났다는 게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.
QUEST_20150511_001986	Strength is the most important stat for swordsmen. {nl}You could also train yourself to be agile and possess strong Stamina. {nl}You should take a moment to decide on what to prioritize from now on.	검사 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 겁니다.
QUEST_20150511_001987	Strength is the most important stat for archers. {nl}But, of course you can't ignore agile movement. {nl}You should take a moment to decide on what to prioritize from now on.	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 겁니다.{nl}
QUEST_20150511_001988	Kamu Cleric yang sangat hebat.{nl}Namun kamu juga membutuhkan mentalitas serta magic yang kuat.{nl}Kita lihat akan menjadi apa kamu di masa depan nanti.{nl}	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 거예요.{nl}
QUEST_20150511_001989	Helping reconstruct Fedimian may be more meaningful than pottery. {nl}But people need something to soothe their hearts.	
QUEST_20150511_001990	If I had the journal, I could continue my adventure, but I wasn't chosen... {nl}But for you things might be different...	
QUEST_20150511_001991	If you cleverly use the dry air that forms around areas of severe cold, you'd be able to freeze any object even in a desert. {nl}However, if you can't receive the blessing from the goddess, it won't be possible to make that kind of air.	
QUEST_20150511_001992	I'll report the damages. {nl}Chasing a Sparnas, a gigantic bird-type creature, will be hard. Despite being large, they are rather agile. {nl}It usually goes after the supplies, but I can't imagine nor find out why. I'm guessing someone's playing a trick.	
QUEST_20150511_001993	Grain pocket was discovered in the ashes of the supplies. {nl}They smell so bad and old they can't be used for food at all. {nl}Please check the supplies for anything missing.	
QUEST_20150511_001994	Defeat all the monsters nearby. {nl}The vicious energy in the thorn forest is constantly creating new monsters. {nl}But you should first defeat most of them before you face Ironbaum. {nl}Even a small factor could ruin the big task. {nl}Also, you could try threatening the monsters so they can't do what they want to do.	
QUEST_20150511_001995	(Everything is scribbled so poorly that they can't be distinguished from letters or drawings.)	
QUEST_20150511_001996	The facility that belonged to the workers who worked on the Mausoleum of Zachariel suddenly shut down. {nl}It's not like they left because finishing it was hopeless, but they just vanished all at once. {nl}Maybe it is related to the irregularly big size of the tomb and its complicated composition {nl}even after considering the fact that it was the grave to commemorate the greatest king in history.	
QUEST_20150511_001997	King Zachariel had made many arrangements for future generations. {nl}We and the Jonas family were one of them. {nl}But the meaning of the arrangements is only known by the goddess. {nl}At least we know that the will of the king that we are protecting and the secret of the tomb indicates one person.	
QUEST_20150511_001998	Trees become bigger as years pass. {nl}There are only Woodmen here but when you think of the large trees or the trees that stand in the old capital city... {nl}You can't help but think of the existence of even larger trees. {nl}After the disaster occurred, many plants turned into monsters so we can't ever rule out that possibility.	
QUEST_20150511_001999	(There are barely legible words written here.) {nl}Euros could not hold his breath any longer so he ended up inhaling the spores and died. {nl}Mushworts hunt people with the cruelest method I've ever seen. {nl}They walk around our gathering places and shake out mushrooms that release spores.	
QUEST_20150511_002000	We never know when they'll release spores. If we don't stop them, the entire camp could be annihilated. {nl}I have no way to keep safe from the spores. I can't stop coughing...	
QUEST_20150511_002001	The training officer completed the training at the camp in the Woods of the Linked Bridges, in accordance with the order to prepare for future disasters. {nl}I hereby grant this certificate. 	
QUEST_20150511_002002	The Mausoleum of Zachariel has never allowed anyone entry. {nl}If the object was not for the world to know of, then we could've hidden it so that none could find it, but instead we just built a giant tomb to protect it.{nl}Is this the great king's conceit or does it hold a different meaning?	
QUEST_20150511_002003	For the first step: recharge the magical essence I gave to you. Look for where magic is condensed at Pavydo Mixed Forest. {nl}You won't be able to use the magical essence right away, however, since it has also absorbed some malign energy. {nl}For that, you'll need to collect Operor saliva and purify it at the altar of purification at the Wasteland of Renistu.	
QUEST_20150511_002004	Name: Hayraven{nl}Sex: Male{nl}Occupation: Merchant{nl}List of items: luxurious goods, weapons {nl}{nl}In accordance with kingdom laws, you may enter.	
QUEST_20150511_002005	If you're seeing this you either didn't pay me in full or did something I told you not to do. {nl}I have cursed this letter. {nl}I've no idea what's gonna happen to you from now on, but know that my curse is absolute.	
QUEST_20150511_002006	The one who fell while researching. {nl}Return to the goddess by becoming a part of the canyon. {nl}The saddened mind breaks the gold stones of the canyon and the poured alcohol soaks into the ground on behalf of the tears.	
QUEST_20150511_002007	Eventually, Ruklys had failed. {nl}He was destroyed and broken by those who were jealous of him. {nl}He left the goddess in my hands. {nl}	
QUEST_20150511_002008	Every object possess the inner strength of its possessor. {nl}And to add to the magical interpretations on that, they could also transform the shapes of their possessors. {nl}Objects belonging to demons could do it with relative ease. (The same applies to the sacred areas, but don't even dare doing that in those places.)	
QUEST_20150511_002009	But that's still just a theory despite the efforts of many frontiers. {nl}The possessor's inner strength and interpretations can never be fully understood if it were not for the possessor himself. {nl}That's why we hope for the blessing from the goddess or the wisdom from the possessor for the knowledge we lack.	
QUEST_20150511_002010	I shall name you Revelator, my representative sent out to seek help from others. {nl}We can't be deceived any more. {nl}We have to protest against the violence behind the mask that claims to protect us.	
QUEST_20150511_002011	We believe your help is the main factor to our success so that our efforts will not have been in vain.	
QUEST_20150511_002012	We've finally arrived in front of the Zachariel's Royal Mausoleum. {nl}He was the first king of this kingdom and used an enormous number of people to build it. {nl}I believe only this place can answer the question I've had in my mind for a long time.	
QUEST_20150511_002013	What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter.	
QUEST_20150511_002014	There's something inside the dark tomb.{nl}As I advanced inside, the large stone statues all turned to look down at me and then chased me out. {nl}I guess the great king in the past is still the great king in the present. {nl}I better investigate from the pillar outside of the Royal Mausoleum.	
QUEST_20150511_002015	With the help from a young, kind historian, I was able to find a big clue. {nl}Yes. The best place to hide a tree is in a forest. {nl}Ruko Plateau and King's Plateau... I'm so close I can almost touch it. {nl}I'm confident the goddess sent him to me. May the blessing of the goddess always be with us!	
QUEST_20150511_002016	Some pillars unlock the tomb{nl}and some altars lock it.{nl}The magical energy that surrounds{nl}the tomb moves by a key.{nl}But none among us can be that key. {nl}We were not Chosen.	
QUEST_20150511_002017	The curse disturbs the rules of the universe that are being controlled by the goddess through human greed. {nl}These rules in the human world get influenced by the personalities of each person, their abilities and their potential power. {nl}The cases when these abilities get released depend on the conditions above.	
QUEST_20150511_002018	According to the old writing left on the Great Cathedral, that is using a small part of the goddess' abilities secretly. {nl}Some people say that after seducing the weak minds of people, the demons used them for the source of the curse. {nl}May the goddess bless you!	
QUEST_20150511_002019	There are two ways to release the curse: {nl}Remove the curse using a greater power or eliminate its caster. {nl}	
QUEST_20150511_002020	Removing the curse using a greater power: {nl}This way depends on whether the power that overwhelms the curse comes from good or evil and from darkness or light.{nl}{nl}The most important factor for eliminating the caster: {nl}Even after eliminating the caster, the curse may not be removed due to other factors.{nl}{nl}I have no doubt that the power of the goddess is stronger.	
QUEST_20150511_002021	There are mainly two ways to spread the curse. {nl}First, using equipment and uttering simple words. It sounds easy but it is, in fact, the hardest way. {nl}Therefore, from the example of the Pilgrim's Way, we mainly use the cursed ones as the mediums to spread the curse.	
QUEST_20150511_002022	When a caster makes a curse, the caster has a tremendous influence on the mind of the victim. Their ego usually can't endure the feeling of guilt this causes. {nl}It seems the magic that was used on the cursed city of Ruklys is of a higher level than the one used on Naktis. We need to look into it more.	
QUEST_20150511_002023	Varkis' Complete Research Materials	
QUEST_20150511_002024	First Research Material{nl}-{nl}We've finally arrived in front of the Great King Zachariel's Royal Mausoleum. {nl}He was the first king of this kingdom and used an enormous number of people to build it.{nl}I believe only this place can answer the question I've had in my mind for a long time.	
QUEST_20150511_002025	What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter.	
QUEST_20150511_002026	Second Research Material{nl}-{nl}There's something inside the dark tomb.{nl}As I advanced inside, the large stone statues all turned to look down at me and then chased me out. {nl}I guess the great king in the past is still the great king in the present. {nl}I better investigate from the pillar outside of the Royal Mausoleum.	
QUEST_20150511_002027	Third Research Material{nl}-{nl}With the help from the young, kind historian, I was able to find a big clue. {nl}Yes. The best place to hide a tree is in a forest. {nl}Ruko Plateau and the King's Plateau... I'm so close I can almost touch it. {nl}I'm confident the goddess sent him to me. May the blessing of the goddess always be with us!	
QUEST_20150511_002028	Fourth Research Material{nl}-{nl}Some pillars unlock the Royal Mausoleum and some altars lock it. {nl}The magical energy that surrounds the tomb moves by the key. {nl}But none can be that key. {nl}We are not chosen.	
QUEST_20150511_002029	A wish would come true if we make a pot and put the wish in it. {nl}I understand that it's tradition, but for now, restoring Fedimian back to its former glory is more important than that.	
QUEST_20150511_002030	I cannot guarantee the safety of other Holy Relics or the keys so you best hurry.	
QUEST_20150511_002031	I'm just listening! I'm not going to do what you say! {nl}I don't think wheat will grow here no matter what kind of magic you use. {nl}I need to look for my son's body, so you better keep it short!	
QUEST_20150511_002032	The picture of the essence is drawn on the old surface.	
QUEST_20150511_002033	The Eternal Adventure	
QUEST_20150714_002034	Well, you're a new face. Did Julian send you?	
QUEST_20150714_002035	Yeah. There's something weird about Goddess Laima. {nl}No one seems to know when she disappeared. {nl}To be honest nobody seems to really know whether or not she actually is a goddess.	
QUEST_20150714_002036	She has never appeared before. {nl}Although I've read somewhere that she does appear every now and then...	
QUEST_20150714_002037	Even though it would be bad for my business, {nl}I wish I could just live peacefully rather than live in fear of monsters coming at any moment.	
